,category,keywords,pageid
0,Arts & Entertainment,"[('art', 0.03354117531844921), ('craft', 0.030145426820072263), ('goods', 0.027118722272187437), ('crafts', 0.024766426072192347), ('work', 0.013100083520327897), ('craftsmen', 0.010829845062028916), ('today', 0.010750626155135846), ('production', 0.010247676266249563), ('people', 0.00997897266566016), ('term', 0.009907662720539495), ('work', 0.007540834444971367), ('century', 0.00593512105132688), ('aesthetic', 0.005418771250523892), ('many', 0.004910449082926399), ('artist', 0.0048868902560477885), ('human', 0.004489287066307812), ('arts', 0.004206162452579074), ('form', 0.004064939279439303), ('skill', 0.003530560681084335), ('public', 0.0034573264768979917)]","[752, 261177, 3173414, 27878428, 19260597]"
1,Arts & Entertainment>Celebrities & Entertainment News,"[('news', 0.07938771138283227), ('celebrity', 0.05432432752654677), ('celebrities', 0.05202937872233512), ('ahn', 0.051154274743627284), ('dissemination', 0.039989129836965454), ('class', 0.03874478766421973), ('club', 0.032502080373518635), ('many', 0.03064104819664064), ('media', 0.02781426426942863), ('public', 0.02710175404813493), ('others', 0.02320554344175766), ('ap', 0.020776212860328835), ('content', 0.02058968946868833), ('service', 0.01847472975502192), ('media', 0.01716058207743834), ('mass', 0.016968810146627118), (']', 0.016475227026344987), ('order', 0.0164006626675363), ('headline', 0.016092438546992965), ('company', 0.01541239988647556), ('business', 0.015350519708058025), ('news', 0.015093051565015714), ('infotainment', 0.013762536382924408), ('public', 0.010902428732016007), ('entertainment', 0.009903265323231571), ('capital', 0.009217360481055698), ('social', 0.008969742606535117), ('information', 0.008966505186193869), ('stories', 0.008488810856094837), ('internet', 0.008074148744404371), ('land', 0.007813563136914123), ('journalism', 0.007808740486483361), ('value', 0.007679564143684801), ('assets', 0.007363421891564088), ('economics', 0.007248180441927846), ('information', 0.007129197931407413), ('social', 0.0070998548289720655), ('team', 0.006430527819939434), ('match', 0.006320349946949313), ('england', 0.006279017192114273), ('season', 0.006243967120684133), ('many', 0.006188064907777991), ('world', 0.006091968315094554), ('celebrity', 0.0060534852509277455), ('world', 0.006022466860111123), ('beckham', 0.005861271945098442), ('mobile', 0.0054990302707680645), ('united', 0.005355529380861384), ('people', 0.004797300798920441), ('example', 0.004777299098915921), ('time', 0.004754974563007769), ('web', 0.004732443909417062), ('real', 0.004634536566140886), ('player', 0.00462031195232553), ('league', 0.00450977484823642), ('music', 0.0044160635170522435), ('wealth', 0.004369903719195268), ('scientology', 0.004336748189477245)]","[5796, 19641, 192617, 8618, 4906670, 333003, 15528045, 25247526]"
2,Arts & Entertainment>Comics & Animation,"[('new', 0.11765788879318217), ('comic', 0.10427071383347297), ('term', 0.07656797695750125), ('film', 0.07520953649342363), ('icaf', 0.05428856913888045), ('compuserve', 0.0538583454422109), ('forum', 0.053619383103819), ('spx', 0.04781178543052324), ('international', 0.04773156100130664), ('books', 0.04470892054520496), ('animation', 0.043026337193145), ('difficulties', 0.039911831605505474), ('comics', 0.03853291144027467), ('travel', 0.037922507088192794), ('creators', 0.03602135749402833), ('department', 0.035525765178961555), ('comic', 0.034591372422442854), ('detailed', 0.031706766456616686), ('effect', 0.029300334166436494), ('visual', 0.028124957630204513), ('novels', 0.02807993434375944), ('book', 0.027576044362130417), ('films', 0.025713047342934517), ('animation', 0.024877595379111158), ('illustration', 0.02466836886764621), ('series', 0.01943573112278634), ('riverdale', 0.013066252502889316), ('animators', 0.012481184751790693), ('company', 0.011652799554552215), ('goldwater', 0.010872730121591598), ('strips', 0.010818277774986793), ('computer', 0.009878062562115897), ('first', 0.009655577864740137), ('first', 0.009616665402098552), ('images', 0.009402386237333209), ('new', 0.00907561382795625), ('goodman', 0.009009963723534152), ('century', 0.007996335380539305), ('characters', 0.007875565624069259), ('motion', 0.007874168624594958), ('american', 0.007874077785634006), ('popular', 0.007755458693569174), ('animated', 0.00754793422994945), ('japanese', 0.007308183677881369), ('lee', 0.007114968249392497), ('early', 0.006935784165474594), ('images', 0.006934823015837872), ('marvel', 0.006873002889190618), ('disney', 0.00657841290704095), ('line', 0.006417670424202235), ('awards', 0.006262520869671879), ('movement', 0.006094424290544778), ('comics', 0.005915969206646524), ('archie', 0.005755759559438994), ('characters', 0.005419274687582421)]","[593, 60430, 145443, 20966, 28875875, 2840153, 11253147]"
3,Arts & Entertainment>Comics & Animation>Anime & Manga,"[('japan', 0.1049416395343985), ('notability', 0.09082098763142371), ('animation', 0.07542795182835206), ('production', 0.06480462000454923), ('reference', 0.06173454975446749), ('description', 0.05811750871518517), ('e.g', 0.05613010184288143), ('anime', 0.054077802460155575), ('world', 0.04725775446723482), ('mecha', 0.04667093425942668), ('conventions', 0.02986323714769804), ('convention', 0.02678902259428861), ('series', 0.021551304942799363), ('popularity', 0.020619164567958287), ('robot', 0.01790860080727553), ('period', 0.01674696827042614), ('studio', 0.016502994649076397), ('genre', 0.014873808321470724), ('comic', 0.01439079799180238), ('panels', 0.013996427796406278), ('cartoonist', 0.013766905861055253), ('magazines', 0.012729948303082337), ('comics', 0.012488799355490446), ('artists', 0.011953377392016903), ('first', 0.011597047187331823), ('first', 0.011412877973122883), ('robots', 0.010842426063709434), ('art', 0.010760930059593648), ('manga', 0.010544483280916372), ('robo', 0.010119842420680786), ('super', 0.010098385980470803), ('publishers', 0.01001116262378868), ('anime', 0.009621432618776137), ('japanese', 0.00947499425144194), ('art', 0.009162063267156217), ('japan', 0.009150919588456746), ('film', 0.008527841367219296), ('country', 0.008421005932104474), ('industry', 0.008418322388968173), ('market', 0.008271862354906668), ('works', 0.007797804934276631), ('industry', 0.006386503171013068), ('series', 0.006282756375167111), ('many', 0.006021553322185931), ('century', 0.005986618953216425), ('magazine', 0.005843801788151583), ('list', 0.005749532905417571), ('manga', 0.0054994268165478866), ('work', 0.005374511562054963), ('%', 0.005335221474542035), ('cartoons', 0.00528669919047365), ('cartoonists', 0.004814480430507336), ('percent', 0.004795486339078924), ('war', 0.004497458159549804), ('artist', 0.004463685286936551), ('national', 0.003405859427237113), ('people', 0.003345148499926312), ('government', 0.0032317194792122047), ('comics', 0.00301539113619951), ('japanese', 0.0027237151943197424)]","[800, 184579, 15573, 18985, 22330602, 3127260, 2550650, 12250739]"
4,Arts & Entertainment>Comics & Animation>Cartoons,"[('comic', 0.07893043005466813), ('show', 0.04249952144667708), ('channel', 0.03249488009973465), ('new', 0.024418116575241212), ('comedy', 0.02415308557149308), ('cartoon', 0.020668331557758445), ('animation', 0.020601079391493415), ('editorial', 0.01883220399814961), ('cartoonists', 0.017974603866269027), ('cartoons', 0.013005316896505524), ('punch', 0.012462871099599026), ('cartoon', 0.012260551979566558), ('cartoonist', 0.012136760982293583), ('magazine', 0.011779597498650072), ('animated', 0.011482536976813156), ('film', 0.011218800399081972), ('time', 0.01038874941911712), ('century', 0.010271878193687375), ('animation', 0.010059132881151563), ('first', 0.009800507777805643), ('british', 0.009577049699529206), ('thomas', 0.009481108257962478), ('new', 0.009050069675915394), ('life', 0.008983241562934017), ('cartoonist', 0.008799102703773813), ('television', 0.008717682747588279), ('muslims', 0.008650882736635425), ('gag', 0.008177572633592426), ('network', 0.007963607842770396), ('shorts', 0.007778340210919121), ('thomas', 0.007684537525808985), ('cartoons', 0.007672648888528878), ('films', 0.00763845495120774), ('series', 0.007624013971805996), ('original', 0.007257416475121957), ('movie', 0.007221378162927105), ('disney', 0.006956389640272837), ('society', 0.0068422068150280615), ('satire', 0.0068292144526403585), ('jyllands-posten', 0.00681487659640708), ('islam', 0.006263550511581309), ('satirical', 0.006124964336750041), ('muslim', 0.0060373420278972975), ('newspaper', 0.0060368705753347015), ('islamic', 0.0059719157743774575), ('political', 0.005877337397926224), ('satirist', 0.005563004228871962), ('muhammad', 0.0051398865101724344), ('religious', 0.004998301417776237), ('century', 0.004110223459015768), ('social', 0.003973181809138691), ('people', 0.003896867984507736), ('serious', 0.0038865646717340767), ('satiric', 0.0036580837231191704), ('political', 0.0034828636575902636)]","[7165, 17279743, 247107, 26791, 205534, 7765099, 36702, 379058]"
5,Arts & Entertainment>Comics & Animation>Comics,"[('titles', 0.09399841496648528), ('underground', 0.06845247988155395), ('comic', 0.06476595308793803), ('dc', 0.03350896906604898), ('alternative', 0.030623194075129378), ('batman', 0.024265389479618493), ('comics', 0.021327583401509614), ('adventure', 0.02103878321237467), ('issue', 0.020768692648478054), ('new', 0.0196782350285847), ('artists', 0.017045154185413133), ('elfquest', 0.016873016589297272), ('series', 0.016523225227689026), ('issues', 0.014987222163602123), ('story', 0.014424316503727714), ('burroughs', 0.014219313417566437), ('conference', 0.013010123226309568), ('legion', 0.012947594698825705), ('art', 0.012732053644571993), ('company', 0.012583940371644982), ('feature', 0.011949918153871244), ('international', 0.011644369752826499), ('new', 0.011589102793080454), ('book', 0.011076996475141683), ('titles', 0.010889405827865704), ('character', 0.010109704098094733), ('books', 0.009974466341775423), ('characters', 0.009591958732765558), ('tarzan', 0.00942863879594579), ('stories', 0.009354589888673317), ('logo', 0.00909335123160852), ('series', 0.009081693146152557), ('marvel', 0.008514935650437422), ('image', 0.00820078682638439), ('comic', 0.007833324059020775), ('publishers', 0.007657637248005267), ('comics', 0.007451949539568663), ('text', 0.006669329651845058), ('narrative', 0.00655347031039656), ('many', 0.005936171028917334)]","[6231, 9105, 420060, 13680626, 25151891, 945039]"
6,Arts & Entertainment>Entertainment Industry,"[('law', 0.06545303658910552), ('term', 0.062110611568014694), ('element', 0.05541969771721128), ('amusement', 0.04777159335520443), ('entertainment', 0.04265515699336186), ('history', 0.040785839869061286), ('business', 0.037702558769346986), ('media', 0.035760578218941325), ('particular', 0.03186483926462673), ('video', 0.03144802166780704), ('part', 0.03124665203200424), ('animal', 0.030333635601681), ('experience', 0.030330594645169715), ('events', 0.030321260174353427), ('enjoyment', 0.03028006377834115), ('prostitution', 0.02982146257234842), ('century', 0.026481749164711563), ('use', 0.026328033052776898), ('sex', 0.0249766678282501), ('sexual', 0.022747574075632836), ('industry', 0.021511099267051154), ('industry', 0.01812278576398151), ('development', 0.01689190071397199), ('developers', 0.016472934033129574), ('agent', 0.016121331295372025), ('countries', 0.015203047803194166), ('pornography', 0.015133043549003007), ('privacy', 0.014905563220061755), ('services', 0.013729853992228895), ('legal', 0.012689867933752664), ('actor', 0.012200864417583675), ('opportunity', 0.01216763190212702), ('example', 0.01030752117031271), ('largest', 0.009672030676571405), ('console', 0.008449334674549764), ('women', 0.008244405168580759), ('men', 0.007986348141468891), ('game', 0.007546532092089795), ('games', 0.0067195886196220475), ('audience', 0.006267564872666272), ('publishers', 0.005991441707223122), ('many', 0.0057058262415406605), ('games', 0.005432374312068102), ('world', 0.005309925091979047), ('forms', 0.005289983679567515), ('entertainment', 0.005107911834068152), ('century', 0.005019707400645511), ('public', 0.004605850047806797), ('dance', 0.004450076456364098), ('many', 0.004420768574710072), ('music', 0.004334482178958422), ('film', 0.0042649881035630175), ('stories', 0.0040650701467092164)]","[768817, 24056759, 9988, 28226, 20603860, 372478, 9262, 216003]"
7,Arts & Entertainment>Entertainment Industry>Film & TV Industry,"[('camera', 0.04710032082007909), ('christian', 0.038815111057195026), ('film', 0.032216827544770885), ('films', 0.028718632763944332), ('films', 0.028357678350580524), ('time', 0.02068596236728646), ('theatre', 0.019636400699379587), ('image', 0.012830011831066277), ('actor', 0.012324238310506863), ('stage', 0.011078243456279021), ('industry', 0.011077500992079735), ('women', 0.010560071678679596), ('radio', 0.009383049501377378), ('christ', 0.009231853765154006), ('motion', 0.00905596264441565), ('drama', 0.008521545570120937), ('actress', 0.008477332396485435), ('hollywood', 0.00839282065392459), ('plays', 0.008172668688484618), ('many', 0.008164136531669261), ('roles', 0.007774885110930763), ('audience', 0.007609073414248202), ('gospel', 0.007321385147211548), ('shot', 0.007266939693645008), ('movie', 0.007106280712709216), ('theaters', 0.00702697059412857), ('world', 0.006974739877595896), ('digital', 0.006813455659320707), ('church', 0.006716814319381059), ('production', 0.006650472067067561), ('indian', 0.006628879389972552), ('film', 0.00634544728490317), ('cinematography', 0.006298677636940372), ('color', 0.006227337030622222), ('studios', 0.005883614364494302), ('movies', 0.005636741634843687), ('cameras', 0.0055878570467644125), ('actors', 0.0053403046888889204), ('first', 0.00531763569365413)]","[21504254, 933117, 195718, 21504235, 649481, 22297366, 164342]"
8,Arts & Entertainment>Entertainment Industry>Film & TV Industry>Film & TV Awards,"[('film', 0.04181789306583569), ('best', 0.03710618669951106), ('palme', 0.03301480194819878), ('films', 0.027640346922362145), (""d'or"", 0.026239786214388373), ('film', 0.023214824704224375), ('festival', 0.02283493616975704), ('awards', 0.021986566584102144), ('academy', 0.02147331048062192), ('president', 0.018821950998870417), ('award', 0.016635494896519002), ('cannes', 0.0166072297742421), ('director', 0.016471573974610132), ('ceremony', 0.015912272671260417), ('cannes', 0.01580329626816427), ('palm', 0.014296653072158234), ('directors', 0.013843418312848252), ('pedestal', 0.013579265342975719), ('french', 0.013568746493320426), ('oscar', 0.012129754086066565), ('new', 0.012085991705966772), ('international', 0.010093402527095325), ('award', 0.008542121484716707), ('members', 0.006730496726102266), ('years', 0.006578716242308423), ('winners', 0.006502498322320152), ('time', 0.006409933179679322), ('festival', 0.006038978988423569)]","[324, 101460, 538696, 612946]"
9,Arts & Entertainment>Entertainment Industry>Film & TV Industry>Film & TV Production,"[('film', 0.06400370045304267), ('video', 0.04650992808609169), ('producer', 0.03485665233001873), ('film', 0.03478879452768745), ('creative', 0.03341937178030066), ('production', 0.03165901564189639), ('directors', 0.031268102739527626), ('director', 0.03103863964300469), ('videos', 0.024813871545778615), ('production', 0.018090569741167187), ('films', 0.01348254451607628), ('industry', 0.013247620048032545), ('actors', 0.012683445915981422), ('media', 0.012219867309742588), ('vision', 0.012154591021316217), ('skills', 0.01128430574042695), ('broadcast', 0.010792463111553612), ('producers', 0.010220151368579612), ('script', 0.010192376261818077), ('school', 0.009506282119993947), ('role', 0.009222551929607959), ('event', 0.0091801409288392), ('television', 0.008920707806894296), ('roles', 0.00888507916223042), ('live', 0.008859042485088536), ('education', 0.008756685932728136), ('different', 0.008345777971217792)]","[21554680, 211405, 1553972, 496785]"
